antecedent,consequent,support,confidence
{6 14 18 19},{1},0.171,0.592
{1 14 18 19},{6},0.173,0.585
{1 6 18 19},{14},0.13,0.779
{1 6 14 19},{18},0.128,0.789
{1 6 14 18},{19},0.165,0.611
{14 18 19},{1 6},0.306,0.331
{6 18 19},{1 14},0.222,0.456
{6 14 19},{1 18},0.221,0.458
{6 14 18},{1 19},0.29,0.349
{1 18 19},{6 14},0.223,0.454
{1 14 19},{6 18},0.22,0.46
{1 14 18},{6 19},0.293,0.345
{1 6 19},{14 18},0.167,0.606
{1 6 18},{14 19},0.218,0.465
{1 6 14},{18 19},0.214,0.472
{18 19},{1 6 14},0.4,0.253
{14 19},{1 6 18},0.399,0.253
{14 18},{1 6 19},0.527,0.192
{6 19},{1 14 18},0.298,0.339
{6 18},{1 14 19},0.382,0.265
{6 14},{1 18 19},0.388,0.261
{1 19},{6 14 18},0.288,0.351
{1 18},{6 14 19},0.387,0.261
{1 14},{6 18 19},0.382,0.265
{1 6},{14 18 19},0.284,0.356
{19},{1 6 14 18},0.54,0.187
{18},{1 6 14 19},0.705,0.143
{14},{1 6 18 19},0.717,0.141
{6},{1 14 18 19},0.528,0.192
{1},{6 14 18 19},0.52,0.194
{6 14 18 30},{1},0.174,0.592
{1 14 18 30},{6},0.181,0.57
{1 6 18 30},{14},0.129,0.796
{1 6 14 30},{18},0.137,0.754
{1 6 14 18},{30},0.165,0.623
{14 18 30},{1 6},0.31,0.333
{6 18 30},{1 14},0.222,0.465
{6 14 30},{1 18},0.235,0.44
{6 14 18},{1 30},0.29,0.356
{1 18 30},{6 14},0.225,0.458
{1 14 30},{6 18},0.239,0.432
{1 14 18},{6 30},0.293,0.352
{1 6 30},{14 18},0.175,0.591
{1 6 18},{14 30},0.218,0.474
{1 6 14},{18 30},0.214,0.481
{18 30},{1 6 14},0.397,0.26
{14 30},{1 6 18},0.421,0.245
{14 18},{1 6 30},0.527,0.196
{6 30},{1 14 18},0.307,0.336
{6 18},{1 14 30},0.382,0.27
{6 14},{1 18 30},0.388,0.266
{1 30},{6 14 18},0.31,0.333
{1 18},{6 14 30},0.387,0.266
{1 14},{6 18 30},0.382,0.27
{1 6},{14 18 30},0.284,0.363
{30},{1 6 14 18},0.563,0.183
{18},{1 6 14 30},0.705,0.146
{14},{1 6 18 30},0.717,0.144
{6},{1 14 18 30},0.528,0.195
{1},{6 14 18 30},0.52,0.198
{6 14 18 34},{1},0.202,0.599
{1 6 14 18},{34},0.165,0.732
{1 14 18 34},{6},0.211,0.575
{1 6 18 34},{14},0.156,0.777
{1 6 14 34},{18},0.155,0.779
{6 14 18},{1 34},0.29,0.418
{14 18 34},{1 6},0.36,0.336
{6 18 34},{1 14},0.262,0.462
{6 14 34},{1 18},0.265,0.457
{1 14 18},{6 34},0.293,0.414
