antecedent,consequent,support,confidence
{3 5},{8},0.191,0.534
{5 8},{3},0.192,0.531
{3 8},{5},0.207,0.493
{5},{3 8},0.407,0.251
{3},{5 8},0.42,0.243
{8},{3 5},0.41,0.249
{5 15},{9},0.19,0.526
{9 15},{5},0.194,0.515
{5 9},{15},0.195,0.513
{15},{5 9},0.42,0.238
{5},{9 15},0.407,0.246
{9},{5 15},0.408,0.245
{5 10},{16},0.193,0.528
{5 16},{10},0.192,0.531
{10 16},{5},0.211,0.483
{5},{10 16},0.407,0.251
{10},{5 16},0.405,0.252
{16},{5 10},0.421,0.242
{5 9},{16},0.195,0.513
{5 16},{9},0.192,0.521
{9 16},{5},0.191,0.524
{5},{9 16},0.407,0.246
{9},{5 16},0.408,0.245
{16},{5 9},0.421,0.238
{5 10},{9},0.193,0.544
{5 9},{10},0.195,0.538
{9 10},{5},0.199,0.528
{5},{9 10},0.407,0.258
{10},{5 9},0.405,0.259
{9},{5 10},0.408,0.257
{3 5},{9},0.191,0.529
{5 9},{3},0.195,0.518
{3 9},{5},0.202,0.5
{5},{3 9},0.407,0.248
{3},{5 9},0.42,0.24
{9},{3 5},0.408,0.248
{6 16},{8},0.199,0.518
{6 8},{16},0.185,0.557
{8 16},{6},0.202,0.51
{6},{8 16},0.398,0.259
{16},{6 8},0.421,0.245
{8},{6 16},0.41,0.251
{6 10},{16},0.19,0.6
{6 16},{10},0.199,0.573
{10 16},{6},0.211,0.54
{6},{10 16},0.398,0.286
{10},{6 16},0.405,0.281
{16},{6 10},0.421,0.271
{6 12},{16},0.192,0.536
{6 16},{12},0.199,0.518
{12 16},{6},0.196,0.526
{6},{12 16},0.398,0.259
{12},{6 16},0.403,0.256
{16},{6 12},0.421,0.245
{6 14},{16},0.168,0.601
{14 16},{6},0.186,0.543
{6 16},{14},0.199,0.508
{14},{6 16},0.389,0.26
{6},{14 16},0.398,0.254
{16},{6 14},0.421,0.24
{6 12},{4},0.192,0.531
{4 6},{12},0.177,0.576
{4 12},{6},0.185,0.551
{6},{4 12},0.398,0.256
{12},{4 6},0.403,0.253
{4},{6 12},0.404,0.252
{3 13},{8},0.196,0.541
{8 13},{3},0.195,0.544
{3 8},{13},0.207,0.512
{13},{3 8},0.409,0.259
{3},{8 13},0.42,0.252
{8},{3 13},0.41,0.259
{3 16},{8},0.202,0.54
{3 8},{16},0.207,0.527
{8 16},{3},0.202,0.54
{3},{8 16},0.42,0.26
{16},{3 8},0.421,0.259
{8},{3 16},0.41,0.266
{11 16},{8},0.186,0.543
{8 11},{16},0.187,0.54
{8 16},{11},0.202,0.5
{11},{8 16},0.401,0.252
{16},{8 11},0.421,0.24
{8},{11 16},0.41,0.246
{12 16},{8},0.196,0.515
{8 12},{16},0.192,0.526
{8 16},{12},0.202,0.5
{12},{8 16},0.403,0.251
{16},{8 12},0.421,0.24
{8},{12 16},0.41,0.246
{3 11},{8},0.198,0.515
{3 8},{11},0.207,0.493
{8 11},{3},0.187,0.545
{3},{8 11},0.42,0.243
{11},{3 8},0.401,0.254
{8},{3 11},0.41,0.249
{3 12},{8},0.197,0.523
{8 12},{3},0.192,0.536
{3 8},{12},0.207,0.498
{12},{3 8},0.403,0.256
{3},{8 12},0.42,0.245
{8},{3 12},0.41,0.251
{3 14},{8},0.182,0.549
{8 14},{3},0.185,0.541
{3 8},{14},0.207,0.483
{14},{3 8},0.389,0.257
{3},{8 14},0.42,0.238
{8},{3 14},0.41,0.244
{3 9},{8},0.202,0.545
{3 8},{9},0.207,0.531
{8 9},{3},0.196,0.561
{3},{8 9},0.42,0.262
{9},{3 8},0.408,0.27
{8},{3 9},0.41,0.268
{4 9},{8},0.2,0.52
{4 8},{9},0.187,0.556
{8 9},{4},0.196,0.531
{4},{8 9},0.404,0.257
{9},{4 8},0.408,0.255
{8},{4 9},0.41,0.254
{3 13},{1},0.196,0.51
{1 13},{3},0.182,0.549
{1 3},{13},0.188,0.532
{13},{1 3},0.409,0.244
{3},{1 13},0.42,0.238
{1},{3 13},0.383,0.261
{4 13},{9},0.187,0.54
{9 13},{4},0.187,0.54
{4 9},{13},0.2,0.505
{13},{4 9},0.409,0.247
{4},{9 13},0.404,0.25
{9},{4 13},0.408,0.248
{10 15},{16},0.19,0.547
{15 16},{10},0.198,0.525
{10 16},{15},0.211,0.493
{15},{10 16},0.42,0.248
{10},{15 16},0.405,0.257
{16},{10 15},0.421,0.247
{3 15},{11},0.191,0.524
{11 15},{3},0.192,0.521
{3 11},{15},0.198,0.505
{15},{3 11},0.42,0.238
{3},{11 15},0.42,0.238
{11},{3 15},0.401,0.249
{11 15},{9},0.192,0.526
{9 15},{11},0.194,0.521
{9 11},{15},0.189,0.534
{15},{9 11},0.42,0.24
{11},{9 15},0.401,0.252
{9},{11 15},0.408,0.248
{3 10},{16},0.198,0.515
{3 16},{10},0.202,0.505
{10 16},{3},0.211,0.483
{3},{10 16},0.42,0.243
{10},{3 16},0.405,0.252
{16},{3 10},0.421,0.242
{4 9},{16},0.2,0.51
{4 16},{9},0.186,0.548
{9 16},{4},0.191,0.534
{4},{9 16},0.404,0.252
{9},{4 16},0.408,0.25
{16},{4 9},0.421,0.242
{3 10},{9},0.198,0.525
{3 9},{10},0.202,0.515
{9 10},{3},0.199,0.523
{3},{9 10},0.42,0.248
{10},{3 9},0.405,0.257
{9},{3 10},0.408,0.255
{10 11},{9},0.182,0.549
{9 11},{10},0.189,0.529
{9 10},{11},0.199,0.503
{11},{9 10},0.401,0.249
{10},{9 11},0.405,0.247
{9},{10 11},0.408,0.245
{3 12},{11},0.197,0.528
{11 12},{3},0.195,0.533
{3 11},{12},0.198,0.525
{12},{3 11},0.403,0.258
{3},{11 12},0.42,0.248
{11},{3 12},0.401,0.259
{3 9},{11},0.202,0.5
{3 11},{9},0.198,0.51
{9 11},{3},0.189,0.534
