antecedent,consequent,support,confidence
{5 7},{10},0.101,1.0
{7 10},{5},0.176,0.574
{5 10},{7},0.291,0.347
{7},{5 10},0.384,0.263
{5},{7 10},0.407,0.248
{10},{5 7},0.405,0.249
{5 6},{10},0.276,0.373
{6 10},{5},0.19,0.542
{5 10},{6},0.291,0.354
{6},{5 10},0.398,0.259
{5},{6 10},0.407,0.253
{10},{5 6},0.405,0.254
{3 15},{11},0.191,0.524
{11 15},{3},0.192,0.521
{3 11},{15},0.291,0.344
{15},{3 11},0.42,0.238
{3},{11 15},0.42,0.238
{11},{3 15},0.401,0.249
{3 9},{11},0.292,0.38
{3 11},{9},0.291,0.381
{9 11},{3},0.111,1.0
{3},{9 11},0.42,0.264
{9},{3 11},0.408,0.272
{11},{3 9},0.401,0.277
{4 12},{11},0.185,0.541
{11 12},{4},0.195,0.513
{4 11},{12},0.192,0.521
{12},{4 11},0.403,0.248
{4},{11 12},0.404,0.248
{11},{4 12},0.401,0.249
{4 13},{9},0.187,0.54
{9 13},{4},0.187,0.54
{4 9},{13},0.2,0.505
{13},{4 9},0.409,0.247
{4},{9 13},0.404,0.25
{9},{4 13},0.408,0.248
{3 4},{9},0.275,0.418
{4 9},{3},0.2,0.575
{3 9},{4},0.292,0.394
{4},{3 9},0.404,0.285
{3},{4 9},0.42,0.274
{9},{3 4},0.408,0.282
{5 10},{9},0.291,0.361
{5 9},{10},0.195,0.538
{9 10},{5},0.199,0.528
{5},{9 10},0.407,0.258
{10},{5 9},0.405,0.259
{9},{5 10},0.408,0.257
{3 10},{16},0.285,0.358
{3 16},{10},0.202,0.505
{10 16},{3},0.211,0.483
{3},{10 16},0.42,0.243
{10},{3 16},0.405,0.252
{16},{3 10},0.421,0.242
{3 10},{9},0.285,0.396
{3 9},{10},0.292,0.387
{9 10},{3},0.199,0.568
{3},{9 10},0.42,0.269
{10},{3 9},0.405,0.279
{9},{3 10},0.408,0.277
{3 5},{9},0.279,0.369
{5 9},{3},0.195,0.528
{3 9},{5},0.292,0.353
{5},{3 9},0.407,0.253
{3},{5 9},0.42,0.245
{9},{3 5},0.408,0.252
{3 16},{8},0.202,0.54
{3 8},{16},0.207,0.527
{8 16},{3},0.202,0.54
{3},{8 16},0.42,0.26
{16},{3 8},0.421,0.259
{8},{3 16},0.41,0.266
{5},{1},0.407,0.686
{1},{5},0.383,0.728
{9},{1},0.408,0.431
{1},{9},0.383,0.46
{12},{1},0.403,0.414
{1},{12},0.383,0.436
{2},{1},0.384,0.638
{1},{2},0.383,0.64
{7},{1},0.384,0.406
{1},{7},0.383,0.407
{5},{2},0.407,0.673
{2},{5},0.384,0.714
{2},{9},0.384,0.435
{9},{2},0.408,0.409
{3},{2},0.42,0.645
{2},{3},0.384,0.706
{12},{2},0.403,0.442
{2},{12},0.384,0.464
{14},{2},0.389,0.432
{2},{14},0.384,0.438
{11},{2},0.401,0.426
{2},{11},0.384,0.445
{7},{9},0.384,0.44
{9},{7},0.408,0.414
{7},{3},0.384,0.682
{3},{7},0.42,0.624
{7},{16},0.384,0.474
{16},{7},0.421,0.432
{7},{2},0.384,0.672
{2},{7},0.384,0.672
{7},{10},0.384,0.458
{10},{7},0.405,0.435
{7},{14},0.384,0.438
{14},{7},0.389,0.432
{7},{4},0.384,0.669
{4},{7},0.404,0.636
{7},{5},0.384,0.263
{5},{7},0.407,0.248
{14},{5},0.389,0.689
{5},{14},0.407,0.658
{14},{6},0.389,0.648
{6},{14},0.398,0.633
{15},{14},0.42,0.438
{14},{15},0.389,0.473
{14},{3},0.389,0.72
{3},{14},0.42,0.667
{14},{16},0.389,0.478
{16},{14},0.421,0.442
{14},{10},0.389,0.47
{10},{14},0.405,0.452
{14},{13},0.389,0.465
{13},{14},0.409,0.443
{14},{8},0.389,0.476
{8},{14},0.41,0.451
{14},{4},0.389,0.437
{4},{14},0.404,0.421
{6},{5},0.398,0.693
{5},{6},0.407,0.678
{15},{6},0.42,0.44
{6},{15},0.398,0.465
{6},{9},0.398,0.432
{9},{6},0.408,0.422
{6},{3},0.398,0.678
{3},{6},0.42,0.643
{6},{12},0.398,0.482
{12},{6},0.403,0.476
{6},{13},0.398,0.45
{13},{6},0.409,0.438
{6},{10},0.398,0.477
{10},{6},0.405,0.469
{6},{8},0.398,0.465
{8},{6},0.41,0.451
{6},{4},0.398,0.445
{4},{6},0.404,0.438
{6},{11},0.398,0.435
{11},{6},0.401,0.431
{5},{11},0.407,0.678
{11},{5},0.401,0.688
{15},{11},0.42,0.457
{11},{15},0.401,0.479
{3},{11},0.42,0.693
{11},{3},0.401,0.726
{11},{16},0.401,0.464
{16},{11},0.421,0.442
{12},{11},0.403,0.484
{11},{12},0.401,0.486
{13},{11},0.409,0.472
{11},{13},0.401,0.481
{11},{8},0.401,0.466
{8},{11},0.41,0.456
{4},{11},0.404,0.475
{11},{4},0.401,0.479
{11},{9},0.401,0.277
{9},{11},0.408,0.272
{12},{9},0.403,0.422
{9},{12},0.408,0.417
{5},{12},0.407,0.69
{12},{5},0.403,0.697
{12},{3},0.403,0.717
{3},{12},0.42,0.688
{12},{16},0.403,0.486
{16},{12},0.421,0.466
{12},{4},0.403,0.459
{4},{12},0.404,0.458
{13},{12},0.409,0.465
{12},{13},0.403,0.471
{15},{12},0.42,0.457
{12},{15},0.403,0.476
{4},{9},0.404,0.495
{9},{4},0.408,0.49
{5},{4},0.407,0.654
{4},{5},0.404,0.658
{4},{3},0.404,0.681
{3},{4},0.42,0.655
{4},{8},0.404,0.463
{8},{4},0.41,0.456
{4},{16},0.404,0.46
{16},{4},0.421,0.442
{4},{10},0.404,0.426
{10},{4},0.405,0.425
{13},{4},0.409,0.457
{4},{13},0.404,0.463
{15},{4},0.42,0.431
{4},{15},0.404,0.448
{10},{9},0.405,0.491
{9},{10},0.408,0.488
{5},{10},0.407,0.715
{10},{5},0.405,0.719
{3},{10},0.42,0.679
{10},{3},0.405,0.704
{10},{8},0.405,0.437
{8},{10},0.41,0.432
{10},{16},0.405,0.521
{16},{10},0.421,0.501
{13},{10},0.409,0.455
{10},{13},0.405,0.459
{15},{10},0.42,0.452
{10},{15},0.405,0.469
{5},{9},0.407,0.479
{9},{5},0.408,0.478
{5},{13},0.407,0.459
{13},{5},0.409,0.457
{5},{3},0.407,0.686
{3},{5},0.42,0.664
{5},{8},0.407,0.472
{8},{5},0.41,0.468
{5},{16},0.407,0.472
{16},{5},0.421,0.456
{15},{5},0.42,0.452
{5},{15},0.407,0.467
{13},{9},0.409,0.457
{9},{13},0.408,0.458
{3},{9},0.42,0.695
{9},{3},0.408,0.716
{9},{8},0.408,0.48
{8},{9},0.41,0.478
{9},{16},0.408,0.468
{16},{9},0.421,0.454
{15},{9},0.42,0.462
{9},{15},0.408,0.475
{13},{16},0.409,0.46
{16},{13},0.421,0.447
{15},{13},0.42,0.455
{13},{15},0.409,0.467
{13},{3},0.409,0.479
{3},{13},0.42,0.467
{13},{8},0.409,0.477
{8},{13},0.41,0.476
{16},{8},0.421,0.48
{8},{16},0.41,0.493
{15},{8},0.42,0.433
{8},{15},0.41,0.444
{3},{8},0.42,0.493
{8},{3},0.41,0.505
{15},{16},0.42,0.471
{16},{15},0.421,0.47
{15},{3},0.42,0.455
{3},{15},0.42,0.455
{3},{16},0.42,0.481
{16},{3},0.421,0.48
