antecedent,consequent,support,confidence
{10506 47783},{76408},0.003,1.0
{47783 76408},{10506},0.003,0.955
{10506 76408},{47783},0.003,1.0
{47783},{10506 76408},0.003,0.955
{10506},{47783 76408},0.004,0.75
{76408},{10506 47783},0.003,0.875
{47783 60708},{76408},0.003,1.0
{47783 76408},{60708},0.003,0.955
{60708 76408},{47783},0.003,1.0
{47783},{60708 76408},0.003,0.955
{60708},{47783 76408},0.003,1.0
{76408},{47783 60708},0.003,0.875
{10506},{76408},0.004,0.75
{76408},{10506},0.003,0.875
{47783},{76408},0.003,1.0
{76408},{47783},0.003,0.917
{60708},{76408},0.003,1.0
{76408},{60708},0.003,0.875
{47783},{10506},0.003,0.955
{10506},{47783},0.004,0.75
{47783},{60708},0.003,0.955
{60708},{47783},0.003,1.0
