antecedent,consequent,support,confidence
{5 7},{10},0.101,1.0
{7 10},{5},0.176,0.574
{5 10},{7},0.291,0.347
{7},{5 10},0.384,0.263
{5},{7 10},0.407,0.248
{10},{5 7},0.405,0.249
{5 6},{10},0.278,0.371
{6 10},{5},0.19,0.542
{5 10},{6},0.291,0.354
{6},{5 10},0.398,0.259
{5},{6 10},0.407,0.253
{10},{5 6},0.405,0.254
{4 12},{11},0.185,0.541
{11 12},{4},0.195,0.513
{4 11},{12},0.192,0.521
{12},{4 11},0.403,0.248
{4},{11 12},0.404,0.248
{11},{4 12},0.401,0.249
{3 15},{11},0.191,0.524
{11 15},{3},0.192,0.521
{3 11},{15},0.293,0.341
{15},{3 11},0.42,0.238
{3},{11 15},0.42,0.238
{11},{3 15},0.401,0.249
{3 9},{11},0.279,0.398
{3 11},{9},0.293,0.379
{9 11},{3},0.111,1.0
{3},{9 11},0.42,0.264
{9},{3 11},0.408,0.272
{11},{3 9},0.401,0.277
{4 13},{9},0.187,0.54
{9 13},{4},0.187,0.54
{4 9},{13},0.2,0.505
{13},{4 9},0.409,0.247
{4},{9 13},0.404,0.25
{9},{4 13},0.408,0.248
{3 4},{9},0.28,0.411
{4 9},{3},0.2,0.575
{3 9},{4},0.279,0.412
{4},{3 9},0.404,0.285
{3},{4 9},0.42,0.274
{9},{3 4},0.408,0.282
{3 10},{16},0.288,0.354
{3 16},{10},0.202,0.505
{10 16},{3},0.211,0.483
{3},{10 16},0.42,0.243
{10},{3 16},0.405,0.252
{16},{3 10},0.421,0.242
{3 10},{9},0.288,0.392
{3 9},{10},0.279,0.405
{9 10},{3},0.199,0.568
{3},{9 10},0.42,0.269
{10},{3 9},0.405,0.279
{9},{3 10},0.408,0.277
{5 10},{9},0.291,0.361
{5 9},{10},0.195,0.538
{9 10},{5},0.199,0.528
{5},{9 10},0.407,0.258
{10},{5 9},0.405,0.259
{9},{5 10},0.408,0.257
{3 5},{9},0.268,0.384
{5 9},{3},0.195,0.528
{3 9},{5},0.279,0.369
{5},{3 9},0.407,0.253
{3},{5 9},0.42,0.245
{9},{3 5},0.408,0.252
{3 16},{8},0.202,0.54
{3 8},{16},0.207,0.527
{8 16},{3},0.202,0.54
{3},{8 16},0.42,0.26
{16},{3 8},0.421,0.259
{8},{3 16},0.41,0.266
{5},{1},0.407,0.686
{1},{5},0.383,0.728
{2},{1},0.384,0.635
{1},{2},0.383,0.637
{12},{1},0.403,0.414
{1},{12},0.383,0.436
{9},{1},0.408,0.431
{1},{9},0.383,0.46
{7},{1},0.384,0.406
{1},{7},0.383,0.407
{11},{2},0.401,0.426
{2},{11},0.384,0.445
{5},{2},0.407,0.673
{2},{5},0.384,0.714
{12},{2},0.403,0.442
{2},{12},0.384,0.464
{2},{9},0.384,0.435
{9},{2},0.408,0.409
{3},{2},0.42,0.645
{2},{3},0.384,0.706
{14},{2},0.389,0.432
{2},{14},0.384,0.438
{7},{10},0.384,0.458
{10},{7},0.405,0.435
{7},{4},0.384,0.664
{4},{7},0.404,0.631
{7},{16},0.384,0.474
{16},{7},0.421,0.432
{7},{2},0.384,0.672
{2},{7},0.384,0.672
{7},{9},0.384,0.44
{9},{7},0.408,0.414
{7},{3},0.384,0.682
{3},{7},0.42,0.624
{7},{14},0.384,0.438
{14},{7},0.389,0.432
{7},{5},0.384,0.263
{5},{7},0.407,0.248
{14},{10},0.389,0.47
{10},{14},0.405,0.452
{14},{4},0.389,0.437
{4},{14},0.404,0.421
{15},{14},0.42,0.438
{14},{15},0.389,0.473
{14},{13},0.389,0.465
{13},{14},0.409,0.443
{14},{16},0.389,0.478
{16},{14},0.421,0.442
{14},{5},0.389,0.694
{5},{14},0.407,0.663
{14},{8},0.389,0.476
{8},{14},0.41,0.451
{14},{6},0.389,0.65
{6},{14},0.398,0.636
{14},{3},0.389,0.722
{3},{14},0.42,0.669
{6},{10},0.398,0.477
{10},{6},0.405,0.469
{6},{11},0.398,0.435
{11},{6},0.401,0.431
{6},{4},0.398,0.445
{4},{6},0.404,0.438
{15},{6},0.42,0.44
{6},{15},0.398,0.465
{6},{13},0.398,0.45
{13},{6},0.409,0.438
{6},{5},0.398,0.698
{5},{6},0.407,0.683
{6},{12},0.398,0.482
{12},{6},0.403,0.476
{6},{9},0.398,0.432
{9},{6},0.408,0.422
{6},{8},0.398,0.465
{8},{6},0.41,0.451
{6},{3},0.398,0.688
{3},{6},0.42,0.652
{4},{11},0.404,0.475
{11},{4},0.401,0.479
{15},{11},0.42,0.457
{11},{15},0.401,0.479
{13},{11},0.409,0.472
{11},{13},0.401,0.481
{11},{16},0.401,0.464
{16},{11},0.421,0.442
{5},{11},0.407,0.686
{11},{5},0.401,0.696
{12},{11},0.403,0.484
{11},{12},0.401,0.486
{11},{8},0.401,0.466
{8},{11},0.41,0.456
{3},{11},0.42,0.698
{11},{3},0.401,0.731
{11},{9},0.401,0.277
{9},{11},0.408,0.272
{13},{12},0.409,0.465
{12},{13},0.403,0.471
{12},{9},0.403,0.422
{9},{12},0.408,0.417
{12},{16},0.403,0.486
{16},{12},0.421,0.466
{5},{12},0.407,0.69
{12},{5},0.403,0.697
{12},{3},0.403,0.725
{3},{12},0.42,0.695
{12},{4},0.403,0.459
{4},{12},0.404,0.458
{15},{12},0.42,0.457
{12},{15},0.403,0.476
{13},{4},0.409,0.457
{4},{13},0.404,0.463
{4},{10},0.404,0.426
{10},{4},0.405,0.425
{4},{9},0.404,0.495
{9},{4},0.408,0.49
{4},{16},0.404,0.46
{16},{4},0.421,0.442
{5},{4},0.407,0.654
{4},{5},0.404,0.658
{4},{8},0.404,0.463
{8},{4},0.41,0.456
{4},{3},0.404,0.693
{3},{4},0.42,0.667
{15},{4},0.42,0.431
{4},{15},0.404,0.448
{13},{10},0.409,0.455
{10},{13},0.405,0.459
{10},{9},0.405,0.491
{9},{10},0.408,0.488
{10},{16},0.405,0.521
{16},{10},0.421,0.501
{5},{10},0.407,0.715
{10},{5},0.405,0.719
{10},{8},0.405,0.437
{8},{10},0.41,0.432
{3},{10},0.42,0.686
{10},{3},0.405,0.711
{15},{10},0.42,0.452
{10},{15},0.405,0.469
{5},{3},0.407,0.658
{3},{5},0.42,0.638
{5},{13},0.407,0.459
{13},{5},0.409,0.457
{5},{8},0.407,0.472
{8},{5},0.41,0.468
{15},{5},0.42,0.452
{5},{15},0.407,0.467
{5},{9},0.407,0.479
{9},{5},0.408,0.478
{5},{16},0.407,0.472
{16},{5},0.421,0.456
{3},{9},0.42,0.664
{9},{3},0.408,0.684
{13},{9},0.409,0.457
{9},{13},0.408,0.458
{9},{8},0.408,0.48
{8},{9},0.41,0.478
{15},{9},0.42,0.462
{9},{15},0.408,0.475
{9},{16},0.408,0.468
{16},{9},0.421,0.454
{13},{16},0.409,0.46
{16},{13},0.421,0.447
{13},{8},0.409,0.477
{8},{13},0.41,0.476
{15},{13},0.42,0.455
{13},{15},0.409,0.467
{13},{3},0.409,0.479
{3},{13},0.42,0.467
{16},{8},0.421,0.48
{8},{16},0.41,0.493
{15},{8},0.42,0.433
{8},{15},0.41,0.444
{3},{8},0.42,0.493
{8},{3},0.41,0.505
{15},{16},0.42,0.471
{16},{15},0.421,0.47
{15},{3},0.42,0.455
{3},{15},0.42,0.455
{3},{16},0.42,0.481
{16},{3},0.421,0.48
